City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Hermanus,ZA,2021-12-03 20:26:46,-34.4187,19.2345,62.91,71,45,14.7,scattered clouds
60,Vaini,TO,2021-12-03 20:26:47,-21.2,-175.2,80.76,89,20,8.05,light rain
61,Talnakh,RU,2021-12-03 20:26:47,69.4865,88.3972,-23.8,99,100,11.5,overcast clouds
62,French Harbor,HN,2021-12-03 20:26:47,16.35,-86.4333,84.2,79,40,3.0,scattered clouds
63,Puerto Ayora,EC,2021-12-03 20:26:48,-0.7393,-90.3518,78.76,80,72,9.48,broken clouds
64,East London,ZA,2021-12-03 20:26:48,-33.0153,27.9116,64.54,73,98,8.57,overcast clouds
65,Lethem,GY,2021-12-03 20:26:48,3.3803,-59.7968,87.37,53,100,8.32,overcast clouds
66,Qaanaaq,GL,2021-12-03 20:26:49,77.484,-69.3632,9.91,94,99,1.03,light snow
67,Voyvozh,RU,2021-12-03 20:26:49,62.892,54.9635,-3.42,99,99,4.61,overcast clouds
68,Presidencia Roque Saenz Pena,AR,2021-12-03 20:26:50,-26.7852,-60.4388,92.44,28,27,8.28,scattered clouds
69,Chokurdakh,RU,2021-12-03 20:26:50,70.6333,147.9167,-19.84,94,100,13.2,overcast clouds
70,Faya,SA,2021-12-03 20:26:51,18.3851,42.4509,55.92,29,27,4.36,scattered clouds
71,Severo-Kurilsk,RU,2021-12-03 20:26:51,50.6789,156.125,38.25,87,100,14.99,overcast clouds
72,Manggar,ID,2021-12-03 20:26:52,-2.8833,108.2667,79.75,86,100,10.09,overcast clouds
73,Honningsvag,NO,2021-12-03 20:26:52,70.9821,25.9704,22.75,80,20,9.22,few clouds
74,Kargasok,RU,2021-12-03 20:26:52,59.0556,80.8572,23.81,88,100,15.5,overcast clouds
75,Laguna,US,2021-12-03 20:26:53,38.421,-121.4238,76.23,100,90,0.0,fog
76,Basco,PH,2021-12-03 20:26:53,20.4487,121.9702,72.03,63,83,31.14,broken clouds
77,Eureka,US,2021-12-03 20:26:53,40.8021,-124.1637,51.19,75,39,3.8,scattered clouds
78,Butaritari,KI,2021-12-03 20:26:54,3.0707,172.7902,82.89,67,64,13.18,broken clouds
79,Ylivieska,FI,2021-12-03 20:26:54,64.0833,24.55,19.31,84,100,9.15,overcast clouds
80,Kodiak,US,2021-12-03 20:26:55,57.79,-152.4072,9.91,85,1,4.61,clear sky
81,Hithadhoo,MV,2021-12-03 20:26:55,-0.6,73.0833,81.45,78,10,10.42,clear sky
82,Cabo San Lucas,MX,2021-12-03 20:25:56,22.8909,-109.9124,90.7,58,1,4.0,clear sky
83,Ahipara,NZ,2021-12-03 20:26:56,-35.1667,173.1667,65.97,86,100,9.17,light rain
84,Avarua,CK,2021-12-03 20:26:56,-21.2078,-159.775,80.65,83,20,6.91,light rain
85,Labuhan,ID,2021-12-03 20:26:56,-6.8844,112.2051,79.05,86,100,5.99,light rain
86,Thompson,CA,2021-12-03 20:26:57,55.7435,-97.8558,-2.04,71,75,11.5,broken clouds
87,Auki,SB,2021-12-03 20:26:57,-8.7676,160.7034,78.64,83,100,2.06,overcast clouds
88,Coos Bay,US,2021-12-03 20:26:57,43.3665,-124.2179,56.23,88,1,3.44,clear sky
89,Bengkulu,ID,2021-12-03 20:26:58,-3.8004,102.2655,76.78,89,100,4.92,moderate rain
90,Atar,MR,2021-12-03 20:26:58,20.5169,-13.0499,71.28,24,99,9.66,overcast clouds
91,Binulasan,PH,2021-12-03 20:26:59,14.7317,121.6986,75.83,82,100,17.29,overcast clouds
92,Provideniya,RU,2021-12-03 20:26:59,64.3833,-173.3,28.62,98,100,6.53,light snow
93,Te Anau,NZ,2021-12-03 20:26:59,-45.4167,167.7167,57.56,98,100,1.03,light rain
94,Pisco,PE,2021-12-03 20:24:53,-13.7,-76.2167,73.45,64,0,20.71,clear sky
95,Naze,JP,2021-12-03 20:27:00,28.3667,129.4833,59.36,55,100,14.99,overcast clouds
96,Chuy,UY,2021-12-03 20:27:00,-33.6971,-53.4616,68.85,68,74,11.63,broken clouds
97,Longyearbyen,SJ,2021-12-03 20:27:01,78.2186,15.6401,35.44,60,40,19.57,scattered clouds
98,Diffa,NE,2021-12-03 20:27:01,13.3154,12.6113,77.0,19,24,6.31,few clouds
99,Beringovskiy,RU,2021-12-03 20:27:01,63.05,179.3167,21.83,92,54,7.34,broken clouds
100,Codrington,AU,2021-12-03 20:27:02,-38.2667,141.9667,54.55,80,100,9.4,overcast clouds
101,Dzhankoy,UA,2021-12-03 20:27:02,45.7167,34.4,54.93,80,93,19.06,overcast clouds
